id,title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
100,"Lock, Stock and Two Smoking Barrels",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,La estrategia del caracol,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,Young Einstein,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100010,Flight Command,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
100017,Hounded,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,Mona Lisa,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
100024,Bloodwork,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10003,The Saint,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
100032,The Great Los Angeles Earthquake,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100033,Mr. Thank You,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,Desperation,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
100042,Dumb and Dumber To,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100046,The Giant Mechanical Man,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10005,Behind Enemy Lines II: Axis of Evil,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100057,American Animal,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,Wild Seven,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100061,Son of a Lion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
100063,Blackout,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10007,See No Evil,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10008,An American Haunting,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
100088,Black Gunn,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
